plantID	nShoots	heightIndex	finalShootHeight	abovegroundVolume	nFlowers	FFDindex	FFD	nPodsTotal	fruitsPerFlower	seedsPerFruit	nIntactSeeds	propPredSeeds	Mum	Dad	grazingY0
ind406:1	2	observed	199	2720.301152	10	observed	131	2	0.2	2	3	0.25	19:1:4	24:4:4	1
ind127:1	2	observed	192	1751.681692	16	noBudSize	128.9149382	5	0.3125	5	2	0.92	19:1:7	27:4:4	0
ind213:2	3	model	206.3874128	2708.434573	21	noBudSize	124.1098725	9	0.428571429	5.4	9	0.844444444	36:3:3	7:1:1	0
ind187:3	1	observed	249	1928.184221	12	model	131.2041833	7	0.583333333	6.8	7	0.84452381	22:4:1	19:3:4	0
ind372:1	5	model	214.8999898	5274.43929	15	observed	132	4	0.266666667	3.75	1	0.875	38:2:1	16:1:1	0
ind307:6	1	observed	206	1740.623286	8	noBudSize	124.1098725	3	0.375	8.666666667	20.52592704	0.152057582	32:5:1	11:8:1	0
ind608:4	3	observed	236	3559.296614	11	noBudSize	124.1098725	5	0.454545455	4.4	13	0.372380952	12:8:2	14:5:5	0
ind523:5	4	model	149.4882953	1042.628517	5	observed	128	1	0.2	9	7.860606533	0.126599274	32:8:3	9:6:2	0
ind233:5	1	observed	275	1754.33406	13	observed	125	6	0.461538462	5.6	20.68689091	0.391670563	39:5:2	11:1:2	1
ind414:1	1	model	148.0781775	251.3133802	3	observed	128	2	0.666666667	5.5	2.332482441	0.796326564	11:6:3	6:5:1	1
ind269:2	3	observed	220	2766.035672	16	observed	132	5	0.3125	7	16	0.522619048	9:7:3	31:3:4	1
ind195:3	1	observed	161	606.4625492	2	observed	131	2	1	5	8	0.333333333	22:4:1	98_30_1:4:1 T2	1
ind451:2	4	observed	192	2510.217982	2	noBudSize	128.9149382	0	0	NA	NA	NaN	19:5:1	3:8:4	0
ind529:2	1	observed	229	1512.590469	2	observed	140	2	1	5.5	0	1	32:8:3	39:3:3	1
ind469:1	7	observed	228	8473.629369	5	noBudSize	124.1098725	1	0.2	7	4.152888764	0.406730177	2:1:3	21:4:1	0
ind244:4	3	model	187.617191	1875.936814	1	noBudSize15	119.3048068	1	1	7	5.881870514	0.159732784	39:5:2	8:5:1	0
ind468:9	2	observed	205	1601.339676	14	observed	128	10	0.714285714	7.8	70	0.097222222	2:1:3	21:4:1	0
ind75:1	8	model	186.3378185	4872.380654	26	model	128.3965485	3	0.115384615	6.333333333	6.668104032	0.678454808	12:9:2	13:6:1	0
